message_id,message_text,category,urgency,channel,student_type,created_hour
MSG-00001,"I cannot access email from my phone after teh security update. Also, teh email page is confusing.???",technical_support,low,web_form,online,7
MSG-00002,"Hi team, My roommate assignment changed and I never received an explanation. Also, the meal plan page is confusing. I already checked the student portal and could not find a clear answer.",housing,low,chat,undergraduate,17
MSG-00003,I need to drop a course before the deadline but the button is missing.,registration,medium,chat,graduate,21
MSG-00004,"I cannot register for CHEM 110 because there is a hold on my account Also, the schedule page is confusing",registration,high,email,international,12
MSG-00005,I need to drop a course before the deadline but the button is missing. just checking.,registration,low,email,online,2
MSG-00006,"the learning platform will not load my quiz and it is due tonight. also, the canvas page is confusing.",technical_support,high,web_form,international,20
MSG-00007,confused about this,housing,low,web_form,undergraduate,19
MSG-00008,i need to drop a course before the deadline but the button is missing.,registration,low,email,international,16
MSG-00009,Can yo point me to the right office for a campus policy issue?,general,low,email,undergraduate,7
MSG-00010,I uploaded FAFSA documents but the portal still says incomplete,financial_aid,low,web_form,online,11
MSG-00011,"Hi team, need help asap I already checked the student portal and could not find a clear answer.",housing,low,chat,undergraduate,1
MSG-00012,"Hi team, My campus login keeps failing even after I reset my password. before Friday. I already checked the student portal and could not find a clear answer.",technical_support,medium,chat,online,4
MSG-00013,"i cannot register for chem 10 because there is a hold on my account. also, the register page is confusing.???",registration,low,web_form,graduate,18
MSG-00014,"Hi team, I want to change majors and need to know the next step I already checked the student portal and could not find a clear answer",academic_advising,medium,web_form,undergraduate,2
MSG-00015,"Can an advisor check whether I am on track to graduate? Also, the degree audit page is confusing.",academic_advising,low,web_form,undergraduate,4
MSG-00016,The waitlist says open but the system will not let me add the class. please call me ASAP. thx,registration,high,email,undergraduate,10
MSG-00017,need help asap pls,health_wellness,high,email,international,6
MSG-00018,I cannot access email from my phone after the security update.,technical_support,medium,email,international,5
MSG-00019,I need an appointment because I have been feeling overwhelmed all week,health_wellness,low,chat,international,20
MSG-00020,I need approval for an overload because this is my final semester. :/,academic_advising,medium,email,online,0
MSG-00021,"Hi team, Can an advisor check whether I am on track to graduate? I already checked the student portal and could not find a clear answer.",academic_advising,medium,web_form,graduate,6
